Date,Income,Category,Budget,Amount,Property,Monthly Overview,Type
"May 18, 2026",Hour cost,On duty,THB 600.00,THB 600.00,No,May 26 (https://app.notion.com/p/May-26-2c90423c142680f38700e9cdb6025968?pvs=21),⌚เงินรายชั่วโมง_MAY26 (https://app.notion.com/p/_MAY26-2c90423c1426805b8e51fe259f8b1e0e?pvs=21)
"May 18, 2026",ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Top up,"THB 1,000.00","THB 1,000.00",No,May 26 (https://app.notion.com/p/May-26-2c90423c142680f38700e9cdb6025968?pvs=21),👍🏼เงิน top up_MAY26 (https://app.notion.com/p/top-up_MAY26-2c90423c142680c48bc8c88588b66afc?pvs=21)
"May 26, 2026",เงินเดือน + เงินประจำตำแหน่ง,Salary,"THB 27,720.00","THB 27,720.00",Yes,May 26 (https://app.notion.com/p/May-26-2c90423c142680f38700e9cdb6025968?pvs=21),🏧เงินเดือนจาก สสจ._MAY26 (https://app.notion.com/p/_MAY26-2c90423c142680a3a942f848fad10b9f?pvs=21)
"June 1, 2026",DF cost,On duty,THB 510.00,THB 660.00,Yes,June 26 (https://app.notion.com/p/June-26-2c90423c14268068b18cda2e38aaa9d1?pvs=21),🤷‍♂️เงิน DF_JUN26 (https://app.notion.com/p/DF_JUN26-2c90423c14268081a278e575b46a6dd2?pvs=21)
"June 1, 2026",Hour cost,On duty,"THB 1,200.00","THB 1,200.00",Yes,June 26 (https://app.notion.com/p/June-26-2c90423c14268068b18cda2e38aaa9d1?pvs=21),⌚เงินรายชั่วโมง_JUN26 (https://app.notion.com/p/_JUN26-2c90423c1426807bb0abd65d1a80f443?pvs=21)
"June 1, 2026",ซื้อ ปกส. นอกเวลา 8ชั่วโมง,Top up,"THB 2,000.00","THB 2,000.00",Yes,June 26 (https://app.notion.com/p/June-26-2c90423c14268068b18cda2e38aaa9d1?pvs=21),👍🏼เงิน top up_JUN26 (https://app.notion.com/p/top-up_JUN26-2c90423c142680599e77d87a1448b73c?pvs=21)
"June 4, 2026",ซื้อ ปกส. นอกเวลา 4ชั่วโมง,Top up,"THB 1,000.00","THB 1,000.00",Yes,June 26 (https://app.notion.com/p/June-26-2c90423c14268068b18cda2e38aaa9d1?pvs=21),👍🏼เงิน top up_JUN26 (https://app.notion.com/p/top-up_JUN26-2c90423c142680599e77d87a1448b73c?pvs=21)
"June 4, 2026",DF cost,On duty,THB 510.00,THB 510.00,Yes,June 26 (https://app.notion.com/p/June-26-2c90423c14268068b18cda2e38aaa9d1?pvs=21),🤷‍♂️เงิน DF_JUN26 (https://app.notion.com/p/DF_JUN26-2c90423c14268081a278e575b46a6dd2?pvs=21)
"June 4, 2026",Hour cost,On duty,THB 600.00,THB 600.00,Yes,June 26 (https://app.notion.com/p/June-26-2c90423c14268068b18cda2e38aaa9d1?pvs=21),⌚เงินรายชั่วโมง_JUN26 (https://app.notion.com/p/_JUN26-2c90423c1426807bb0abd65d1a80f443?pvs=21)
"June 20, 2026",เวรเหมา 1หมื่น,On duty,"THB 10,000.00","THB 10,000.00",Yes,May 26 (https://app.notion.com/p/May-26-2c90423c142680f38700e9cdb6025968?pvs=21),
"June 26, 2026",เงินเดือน + เงินประจำตำแหน่ง,Salary,"THB 27,720.00","THB 27,720.00",Yes,June 26 (https://app.notion.com/p/June-26-2c90423c14268068b18cda2e38aaa9d1?pvs=21),🏧เงินเดือนจาก สสจ._JUN26 (https://app.notion.com/p/_JUN26-2c90423c142680979b30eb1b1a0cf37a?pvs=21)
"July 9, 2026",สมุดตรวจสุขภาพ,On duty,THB 350.00,,No,July 26 (https://app.notion.com/p/July-26-2c90423c142680d393b7f6a4171c0151?pvs=21),🤷‍♂️เงิน DF_JUL26 (https://app.notion.com/p/DF_JUL26-2c90423c142680398e52daac141b9295?pvs=21)
"July 14, 2026",สมุดตรวจสุขภาพ,On duty,THB 230.00,,No,July 26 (https://app.notion.com/p/July-26-2c90423c142680d393b7f6a4171c0151?pvs=21),🤷‍♂️เงิน DF_JUL26 (https://app.notion.com/p/DF_JUL26-2c90423c142680398e52daac141b9295?pvs=21)
